rig load V: gp loss%% | share | ng g99 gmx | p50/p95@ratchet late
S3  30000 v0: gp= 29798 loss= 0.55 | 0.54/0.30/0.16 | ng=12240 g99=  3.0 gmx=  3.0 | p50=  14 p95=  14 late=1475.0 (1s)
S3  30000 v1: gp= 29964 loss= 0.00 | 1.00/0.00/0.00 | ng=    0 g99=  0.0 gmx=  0.0 | p50=  11 p95=  11 late=  0.0 (2s)
S3  30000 v2: gp= 29964 loss= 0.00 | 1.00/0.00/0.00 | ng=    0 g99=  0.0 gmx=  0.0 | p50=  11 p95=  11 late=  0.0 (3s)
S3  60000 v0: gp= 59594 loss= 0.55 | 0.55/0.31/0.14 | ng=24458 g99=  3.0 gmx= 21.0 | p50=  14 p95=  14 late=1919.0 (5s)
S3  60000 v1: gp= 59926 loss= 0.00 | 1.00/0.00/0.00 | ng=    0 g99=  0.0 gmx=  0.0 | p50=  11 p95=  11 late=  0.0 (7s)
S3  60000 v2: gp= 59926 loss= 0.00 | 1.00/0.00/0.00 | ng=    0 g99=  0.0 gmx=  0.0 | p50=  11 p95=  11 late=  0.0 (9s)
S3  90000 v0: gp= 89396 loss= 0.55 | 0.56/0.31/0.12 | ng=36037 g99=  3.0 gmx=411.0 | p50=  14 p95=  14 late=120.0 (12s)
S3  90000 v1: gp= 81738 loss= 9.07 | 0.86/0.14/0.00 | ng=55560 g99= 37.0 gmx= 37.0 | p50=  41 p95=  43 late=37739.0 (15s)
S3  90000 v2: gp= 89580 loss= 0.34 | 0.83/0.17/0.00 | ng=14666 g99=  7.0 gmx=  7.0 | p50=  11 p95=  14 late=4427.0 (18s)
S3 115000 v0: gp=113746 loss= 0.97 | 0.55/0.32/0.13 | ng=48271 g99= 32.0 gmx=411.0 | p50=  14 p95=  87 late=243.0 (22s)
S3 115000 v1: gp=105711 loss= 7.96 | 0.68/0.30/0.02 | ng=75209 g99= 37.0 gmx=401.0 | p50=  41 p95=  91 late=4080.0 (25s)
S3 115000 v2: gp=112476 loss= 2.07 | 0.67/0.30/0.02 | ng=55194 g99= 32.0 gmx=391.0 | p50=  21 p95=  64 late=1172.0 (29s)
S3 140000 v0: gp=134780 loss= 3.61 | 0.54/0.31/0.15 | ng=61626 g99= 31.0 gmx=411.0 | p50=  33 p95= 254 late=422.0 (33s)
S3 140000 v1: gp=127625 loss= 8.72 | 0.57/0.33/0.10 | ng=92079 g99= 39.0 gmx=391.0 | p50=  54 p95= 281 late=3903.0 (38s)
S3 140000 v2: gp=131728 loss= 5.79 | 0.57/0.33/0.10 | ng=90724 g99= 29.0 gmx=391.0 | p50=  34 p95= 261 late=1933.0 (43s)
S4  15000 v0: gp= 14942 loss= 0.26 | 0.37/0.36/0.26 | ng= 5993 g99=  1.0 gmx= 10.0 | p50=  13 p95=  13 late=510.0 (43s)
S4  15000 v1: gp= 14623 loss= 2.39 | 0.76/0.23/0.01 | ng= 1448 g99=429.0 gmx=459.0 | p50=  12 p95= 122 late=149.0 (44s)
S4  15000 v2: gp= 14947 loss= 0.23 | 0.75/0.23/0.03 | ng=  981 g99= 10.0 gmx=409.0 | p50=  12 p95=  22 late= 15.0 (44s)
S4  30000 v0: gp= 29523 loss= 1.47 | 0.39/0.36/0.25 | ng=11987 g99= 30.0 gmx=411.0 | p50=  13 p95= 214 late= 90.0 (45s)
S4  30000 v1: gp= 28866 loss= 3.66 | 0.66/0.29/0.05 | ng= 4130 g99=449.0 gmx=489.0 | p50=  13 p95= 182 late=359.0 (46s)
S4  30000 v2: gp= 29468 loss= 1.65 | 0.55/0.35/0.10 | ng= 6229 g99= 31.0 gmx=419.0 | p50=  13 p95= 192 late= 79.0 (47s)
S4  50000 v0: gp= 46991 loss= 5.90 | 0.40/0.35/0.25 | ng=20828 g99= 51.0 gmx=429.0 | p50=  43 p95= 422 late=446.0 (49s)
S4  50000 v1: gp= 45991 loss= 7.90 | 0.56/0.29/0.15 | ng=17668 g99=439.0 gmx=489.0 | p50=  63 p95= 362 late=975.0 (50s)
S4  50000 v2: gp= 47087 loss= 5.71 | 0.50/0.32/0.18 | ng=14776 g99= 60.0 gmx=439.0 | p50=  53 p95= 302 late=558.0 (52s)
total 52s
